timestamp, utilization.gpu [%], utilization.memory [%], pstate
2025/12/30 18:00:38.746, 13 %, 2 %, P2
2025/12/30 18:00:39.747, 12 %, 2 %, P2
2025/12/30 18:00:40.747, 14 %, 2 %, P2
2025/12/30 18:00:41.748, 14 %, 2 %, P2
2025/12/30 18:00:42.748, 12 %, 2 %, P2
2025/12/30 18:00:43.748, 15 %, 2 %, P2
2025/12/30 18:00:44.748, 8 %, 2 %, P2
2025/12/30 18:00:45.748, 97 %, 92 %, P2
2025/12/30 18:00:46.748, 13 %, 2 %, P2
2025/12/30 18:00:47.749, 14 %, 2 %, P2
2025/12/30 18:00:48.749, 17 %, 2 %, P2
2025/12/30 18:00:49.750, 9 %, 2 %, P2
